RESI ALA          0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT3    -0.27
ATOM HB1  HA3     0.09
ATOM HB2  HA3     0.09
ATOM HB3  HA3     0.09
ATOM C    C       0.51
ATOM O    O      -0.51
RESI ARG          1.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2    -0.18
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CT2    -0.18
ATOM HG1  HA2     0.09
ATOM HG2  HA2     0.09
ATOM CD   CT2     0.20
ATOM HD1  HA2     0.09
ATOM HD2  HA2     0.09
ATOM NE   NC2    -0.70
ATOM HE   HC      0.44
ATOM CZ   C       0.64
ATOM NH1  NC2    -0.80
ATOM HH11 HC      0.46
ATOM HH12 HC      0.46
ATOM NH2  NC2    -0.80
ATOM HH21 HC      0.46
ATOM HH22 HC      0.46
ATOM C    C       0.51
ATOM O    O      -0.51
RESI ASN          0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2    -0.18
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CC      0.55
ATOM OD1  O      -0.55
ATOM ND2  NH2    -0.62
ATOM HD21 H       0.32
ATOM HD22 H       0.30
ATOM C    C       0.51
ATOM O    O      -0.51
RESI ASP         -1.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2A   -0.28
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CC      0.62
ATOM OD1  OC     -0.76
ATOM OD2  OC     -0.76
ATOM C    C       0.51
ATOM O    O      -0.51
RESI CYS          0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2    -0.11
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM SG   S      -0.23
ATOM HG1  HS      0.16
ATOM C    C       0.51
ATOM O    O      -0.51
RESI GLN          0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2    -0.18
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CT2    -0.18
ATOM HG1  HA2     0.09
ATOM HG2  HA2     0.09
ATOM CD   CC      0.55
ATOM OE1  O      -0.55
ATOM NE2  NH2    -0.62
ATOM HE21 H       0.32
ATOM HE22 H       0.30
ATOM C    C       0.51
ATOM O    O      -0.51
RESI GLU         -1.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2A   -0.18
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CT2    -0.28
ATOM HG1  HA2     0.09
ATOM HG2  HA2     0.09
ATOM CD   CC      0.62
ATOM OE1  OC     -0.76
ATOM OE2  OC     -0.76
ATOM C    C       0.51
ATOM O    O      -0.51
RESI GLY          0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT2    -0.02
ATOM HA1  HB2     0.09
ATOM HA2  HB2     0.09
ATOM C    C       0.51
ATOM O    O      -0.51
RESI HSD          0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2    -0.09
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM ND1  NR1    -0.36
ATOM HD1  H       0.32
ATOM CG   CPH1   -0.05
ATOM CE1  CPH2    0.25
ATOM HE1  HR1     0.13
ATOM NE2  NR2    -0.70
ATOM CD2  CPH1    0.22
ATOM HD2  HR3     0.10
ATOM C    C       0.51
ATOM O    O      -0.51
RESI HSE          0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2    -0.08
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM ND1  NR2    -0.70
ATOM CG   CPH1    0.22
ATOM CE1  CPH2    0.25
ATOM HE1  HR1     0.13
ATOM NE2  NR1    -0.36
ATOM HE2  H       0.32
ATOM CD2  CPH1   -0.05
ATOM HD2  HR3     0.09
ATOM C    C       0.51
ATOM O    O      -0.51
RESI HSP          1.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2A   -0.05
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CD2  CPH1    0.19
ATOM HD2  HR1     0.13
ATOM CG   CPH1    0.19
ATOM NE2  NR3    -0.51
ATOM HE2  H       0.44
ATOM ND1  NR3    -0.51
ATOM HD1  H       0.44
ATOM CE1  CPH2    0.32
ATOM HE1  HR2     0.18
ATOM C    C       0.51
ATOM O    O      -0.51
RESI ILE          0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT1    -0.09
ATOM HB   HA1     0.09
ATOM CG2  CT3    -0.27
ATOM HG21 HA3     0.09
ATOM HG22 HA3     0.09
ATOM HG23 HA3     0.09
ATOM CG1  CT2    -0.18
ATOM HG11 HA2     0.09
ATOM HG12 HA2     0.09
ATOM CD   CT3    -0.27
ATOM HD1  HA3     0.09
ATOM HD2  HA3     0.09
ATOM HD3  HA3     0.09
ATOM C    C       0.51
ATOM O    O      -0.51
RESI LEU          0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2    -0.18
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CT1    -0.09
ATOM HG   HA1     0.09
ATOM CD1  CT3    -0.27
ATOM HD11 HA3     0.09
ATOM HD12 HA3     0.09
ATOM HD13 HA3     0.09
ATOM CD2  CT3    -0.27
ATOM HD21 HA3     0.09
ATOM HD22 HA3     0.09
ATOM HD23 HA3     0.09
ATOM C    C       0.51
ATOM O    O      -0.51
RESI LYS          1.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2    -0.18
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CT2    -0.18
ATOM HG1  HA2     0.09
ATOM HG2  HA2     0.09
ATOM CD   CT2    -0.18
ATOM HD1  HA2     0.09
ATOM HD2  HA2     0.09
ATOM CE   CT2     0.21
ATOM HE1  HA2     0.05
ATOM HE2  HA2     0.05
ATOM NZ   NH3    -0.30
ATOM HZ1  HC      0.33
ATOM HZ2  HC      0.33
ATOM HZ3  HC      0.33
ATOM C    C       0.51
ATOM O    O      -0.51
RESI MET          0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2    -0.18
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CT2    -0.14
ATOM HG1  HA2     0.09
ATOM HG2  HA2     0.09
ATOM SD   S      -0.09
ATOM CE   CT3    -0.22
ATOM HE1  HA3     0.09
ATOM HE2  HA3     0.09
ATOM HE3  HA3     0.09
ATOM C    C       0.51
ATOM O    O      -0.51
RESI PHE          0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
