RESI ALAN        0.00
ATOM N    NH3    -0.30 
ATOM HT1  HC      0.33 
ATOM HT2  HC      0.33 
ATOM HT3  HC      0.33 
ATOM CA   CT1     0.21 
ATOM HA   HB      0.10 
ATOM CB   CT3    -0.27
ATOM HB1  HA3     0.09
ATOM HB2  HA3     0.09
ATOM HB3  HA3     0.09
ATOM C    C       0.51
ATOM O    O      -0.51
RESI ARGN         1.00
ATOM N    NH3    -0.30 
ATOM HT1  HC      0.33 
ATOM HT2  HC      0.33 
ATOM HT3  HC      0.33 
ATOM CA   CT1     0.21 
ATOM HA   HB      0.10 
ATOM CB   CT2    -0.18
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CT2    -0.18
ATOM HG1  HA2     0.09
ATOM HG2  HA2     0.09
ATOM CD   CT2     0.20
ATOM HD1  HA2     0.09
ATOM HD2  HA2     0.09
ATOM NE   NC2    -0.70
ATOM HE   HC      0.44
ATOM CZ   C       0.64
ATOM NH1  NC2    -0.80
ATOM HH11 HC      0.46
ATOM HH12 HC      0.46
ATOM NH2  NC2    -0.80
ATOM HH21 HC      0.46
ATOM HH22 HC      0.46
ATOM C    C       0.51
ATOM O    O      -0.51
RESI ASNN          0.00
ATOM N    NH3    -0.30 
ATOM HT1  HC      0.33 
ATOM HT2  HC      0.33 
ATOM HT3  HC      0.33 
ATOM CA   CT1     0.21 
ATOM HA   HB      0.10 
ATOM CB   CT2    -0.18
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CC      0.55
ATOM OD1  O      -0.55
ATOM ND2  NH2    -0.62
ATOM HD21 H       0.32
ATOM HD22 H       0.30
ATOM C    C       0.51
ATOM O    O      -0.51
RESI ASPN        -1.00
ATOM N    NH3    -0.30 
ATOM HT1  HC      0.33 
ATOM HT2  HC      0.33 
ATOM HT3  HC      0.33 
ATOM CA   CT1     0.21 
ATOM HA   HB      0.10 
ATOM CB   CT2A   -0.28
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CC      0.62
ATOM OD1  OC     -0.76
ATOM OD2  OC     -0.76
ATOM C    C       0.51
ATOM O    O      -0.51
RESI CYSN         0.00
ATOM N    NH3    -0.30 
ATOM HT1  HC      0.33 
ATOM HT2  HC      0.33 
ATOM HT3  HC      0.33 
ATOM CA   CT1     0.21 
ATOM HA   HB      0.10 
ATOM CB   CT2    -0.11
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM SG   S      -0.23
ATOM HG1  HS      0.16
ATOM C    C       0.51
ATOM O    O      -0.51
RESI GLNN          0.00
ATOM N    NH3    -0.30 
ATOM HT1  HC      0.33 
ATOM HT2  HC      0.33 
ATOM HT3  HC      0.33 
ATOM CA   CT1     0.21 
ATOM HA   HB      0.10 
ATOM CB   CT2    -0.18
ATOM HB1  HA2     0.09
